,totalenrolled,white,black,hispanic,lowincome,dropout,year,charter,hybridper,virtualper,schoolmode,schoolcode,countycode,districtcode,state
185,108,91.7,0.0,1.9,47.2,3.6,2019,0,0.0,0.0,0.0,120170010260001il,12017il,12017001il,il
186,103,97.1,0.0,0.0,46.6,0.0,2018,0,0.0,0.0,0.0,120170010260001il,12017il,12017001il,il
187,100,98.0,1.0,0.0,44.0,1.0,2017,0,0.0,0.0,0.0,120170010260001il,12017il,12017001il,il
188,493,90.7,2.0,3.0,39.6,3.7,2021,0,0.0,0.0,0.0909,120170020260001il,12017il,12017002il,il
189,460,90.9,1.1,3.7,38.3,2.3,2019,0,0.0,0.0,0.0,120170020260001il,12017il,12017002il,il
190,449,91.1,0.0,3.3,38.3,2.2,2018,0,0.0,0.0,0.0,120170020260001il,12017il,12017002il,il
191,457,92.1,0.7,2.6,38.9,1.5,2017,0,0.0,0.0,0.0,120170020260001il,12017il,12017002il,il
192,85,97.6,0.0,0.0,41.2,5.9,2021,0,0.0909,0.0,0.1364,120170030260001il,12017il,12017003il,il
193,85,100.0,0.0,0.0,40.0,3.3,2019,0,0.0,0.0,0.0,120170030260001il,12017il,12017003il,il
194,90,100.0,0.0,0.0,31.1,1.1,2018,0,0.0,0.0,0.0,120170030260001il,12017il,12017003il,il
195,107,100.0,0.0,0.0,20.6,0.0,2017,0,0.0,0.0,0.0,120170030260001il,12017il,12017003il,il
196,190,95.3,0.0,0.0,47.9,6.9,2021,0,0.0909,0.0,0.1364,120170040260001il,12017il,12017004il,il
197,173,95.4,0.6,1.7,40.5,5.6,2019,0,0.0,0.0,0.0,120170040260001il,12017il,12017004il,il
198,191,93.2,0.0,0.0,35.6,2.6,2018,0,0.0,0.0,0.0,120170040260001il,12017il,12017004il,il
199,179,93.3,1.1,2.2,35.2,1.7,2017,0,0.0,0.0,0.0,120170040260001il,12017il,12017004il,il
200,415,97.8,0.0,0.0,35.2,2.7,2021,0,0.0,0.0,0.0909,120400010260001il,12040il,12040001il,il
201,453,97.6,0.0,1.3,36.6,2.7,2019,0,0.0,0.0,0.0,120400010260001il,12040il,12040001il,il
202,456,97.8,0.0,0.0,34.2,0.4,2018,0,0.0,0.0,0.0,120400010260001il,12040il,12040001il,il
203,462,97.2,0.4,1.1,33.3,0.2,2017,0,0.0,0.0,0.0,120400010260001il,12040il,12040001il,il
204,394,96.2,0.0,0.0,50.8,3.5,2021,0,0.0909,0.0,0.1364,120510100260001il,12051il,12051010il,il
205,409,95.4,0.0,1.2,56.7,4.6,2019,0,0.0,0.0,0.0,120510100260001il,12051il,12051010il,il
206,404,95.8,0.0,0.0,55.7,2.6,2018,0,0.0,0.0,0.0,120510100260001il,12051il,12051010il,il
207,428,95.3,0.2,1.4,53.3,2.6,2017,0,0.0,0.0,0.0,120510100260001il,12051il,12051010il,il
208,322,92.5,0.0,4.0,57.8,6.1,2021,0,0.1818,0.0909,0.2727,120510200260008il,12051il,12051020il,il
209,319,94.0,0.3,2.5,48.0,6.5,2019,0,0.0,0.0,0.0,120510200260008il,12051il,12051020il,il
210,300,94.0,0.0,0.0,54.3,4.3,2018,0,0.0,0.0,0.0,120510200260008il,12051il,12051020il,il
211,320,93.1,0.9,3.1,51.6,5.0,2017,0,0.0,0.0,0.0,120510200260008il,12051il,12051020il,il
212,722,89.1,0.0,5.4,41.8,4.8,2021,0,0.4545,0.0909,0.3182,120800010260001il,12080il,12080001il,il
213,721,91.5,0.4,3.7,41.2,5.4,2019,0,0.0,0.0,0.0,120800010260001il,12080il,12080001il,il
214,742,92.3,0.0,3.5,44.7,2.0,2018,0,0.0,0.0,0.0,120800010260001il,12080il,12080001il,il
215,733,92.2,0.4,3.7,45.0,1.9,2017,0,0.0,0.0,0.0,120800010260001il,12080il,12080001il,il
216,300,92.0,3.3,0.0,37.3,5.2,2021,0,0.0909,0.0,0.1364,130140010260001il,13014il,13014001il,il
217,307,91.2,2.0,1.3,38.8,7.7,2019,0,0.0,0.0,0.0,130140010260001il,13014il,13014001il,il
218,321,91.3,0.0,0.0,34.3,0.6,2018,0,0.0,0.0,0.0,130140010260001il,13014il,13014001il,il
219,318,91.2,3.5,1.6,34.3,1.3,2017,0,0.0,0.0,0.0,130140010260001il,13014il,13014001il,il
220,385,88.8,0.0,6.5,31.4,1.8,2021,0,0.0,0.0,0.0909,130140030260006il,13014il,13014003il,il
221,379,89.4,0.5,5.8,25.3,5.1,2019,0,0.0,0.0,0.0,130140030260006il,13014il,13014003il,il
222,377,89.7,0.0,5.6,26.8,0.8,2018,0,0.0,0.0,0.0,130140030260006il,13014il,13014003il,il
223,396,88.4,2.0,5.8,26.5,1.5,2017,0,0.0,0.0,0.0,130140030260006il,13014il,13014003il,il
224,625,95.0,0.0,4.2,18.4,1.4,2021,0,0.0,0.0,0.0909,130140710160001il,13014il,13014071il,il
225,600,98.0,0.0,1.8,19.0,2.4,2019,0,0.0,0.0,0.0,130140710160001il,13014il,13014071il,il
226,592,96.6,0.0,3.2,23.0,1.2,2018,0,0.0,0.0,0.0,130140710160001il,13014il,13014071il,il
227,575,95.8,0.3,3.5,7.1,1.0,2017,0,0.0,0.0,0.0,130140710160001il,13014il,13014071il,il
