,schoolcode,year,charter,mathpass,schoolmode,virtualper,hybridper,totaltested,lowincome,white,black,hispanic,asian,state,countycode,districtcode
4016,057905062tx,2017,0.0,59.68,0.0,0.0,0,62,96.77,0.0,82.2581,16.129,0.0,tx,057tx,057905tx
4017,057905062tx,2018,0.0,69.09,0.0,0.0,0,55,90.91,1.8182,70.9091,27.2727,0.0,tx,057tx,057905tx
4018,057905062tx,2019,0.0,65.22,0.0,0.0,0,46,73.91,0.0,60.8696,36.9565,0.0,tx,057tx,057905tx
4019,057905062tx,2021,0.0,77.27,0.0,0.0,0,22,68.18,0.0,31.8182,63.6364,4.5455,tx,057tx,057905tx
4020,057905068tx,2015,0.0,95.92,0.0,0.0,0,49,91.84,0.0,0.0,100.0,0.0,tx,057tx,057905tx
4021,057905068tx,2016,0.0,100.0,0.0,0.0,0,38,92.11,0.0,2.6316,97.3684,0.0,tx,057tx,057905tx
4022,057905068tx,2017,0.0,92.98,0.0,0.0,0,57,98.25,0.0,1.7544,96.4912,0.0,tx,057tx,057905tx
4023,057905068tx,2018,0.0,100.0,0.0,0.0,0,52,100.0,0.0,0.0,96.1538,0.0,tx,057tx,057905tx
4024,057905068tx,2019,0.0,100.0,0.0,0.0,0,68,51.47,0.0,0.0,100.0,0.0,tx,057tx,057905tx
4025,057905068tx,2021,0.0,44.37,0.0,0.0,0,142,54.93,0.7042,1.4085,97.8873,0.0,tx,057tx,057905tx
4026,057905069tx,2015,0.0,47.79,0.0,0.0,0,136,86.76,13.9706,16.1765,69.8529,0.0,tx,057tx,057905tx
4027,057905069tx,2016,0.0,62.71,0.0,0.0,0,118,87.29,15.2542,14.4068,68.6441,0.0,tx,057tx,057905tx
4028,057905069tx,2017,0.0,78.72,0.0,0.0,0,94,84.04,8.5106,25.5319,65.9574,0.0,tx,057tx,057905tx
4029,057905069tx,2018,0.0,100.0,0.0,0.0,0,68,85.29,8.8235,11.7647,73.5294,0.0,tx,057tx,057905tx
4030,057905069tx,2019,0.0,100.0,0.0,0.0,0,52,55.77,9.6154,13.4615,75.0,0.0,tx,057tx,057905tx
4031,057905069tx,2021,0.0,43.27,0.0,0.0,0,104,58.65,4.8077,8.6538,85.5769,0.0,tx,057tx,057905tx
4032,057905071tx,2015,0.0,88.1,0.0,0.0,0,126,82.54,3.1746,12.6984,81.746,2.381,tx,057tx,057905tx
4033,057905071tx,2016,0.0,90.98,0.0,0.0,0,122,78.69,6.5574,9.8361,78.6885,2.459,tx,057tx,057905tx
4034,057905071tx,2017,0.0,98.51,0.0,0.0,0,134,83.58,2.2388,16.4179,80.597,0.7463,tx,057tx,057905tx
4035,057905071tx,2018,0.0,97.92,0.0,0.0,0,144,85.42,4.1667,9.0278,81.9444,2.7778,tx,057tx,057905tx
4036,057905071tx,2019,0.0,97.24,0.0,0.0,0,145,45.52,5.5172,13.1034,77.931,1.3793,tx,057tx,057905tx
4037,057905071tx,2021,0.0,66.67,0.0,0.0,0,159,44.65,0.6289,8.1761,88.0503,2.5157,tx,057tx,057905tx
4038,057905072tx,2015,0.0,25.0,0.0,0.0,0,16,93.75,0.0,62.5,37.5,0.0,tx,057tx,057905tx
4039,057905072tx,2016,0.0,100.0,0.0,0.0,0,16,87.5,0.0,56.25,43.75,0.0,tx,057tx,057905tx
4040,057905072tx,2017,0.0,72.73,0.0,0.0,0,22,95.45,0.0,59.0909,40.9091,0.0,tx,057tx,057905tx
4041,057905072tx,2018,0.0,94.12,0.0,0.0,0,17,94.12,5.8824,41.1765,41.1765,11.7647,tx,057tx,057905tx
4042,057905072tx,2019,0.0,87.5,0.0,0.0,0,24,79.17,0.0,54.1667,45.8333,0.0,tx,057tx,057905tx
4043,057905072tx,2021,0.0,62.96,0.0,0.0,0,27,85.19,0.0,44.4444,33.3333,18.5185,tx,057tx,057905tx
4044,057905073tx,2015,0.0,96.15,0.0,0.0,0,78,85.9,7.6923,6.4103,85.8974,0.0,tx,057tx,057905tx
4045,057905073tx,2016,0.0,98.11,0.0,0.0,0,106,76.42,6.6038,13.2075,70.7547,5.6604,tx,057tx,057905tx
4046,057905073tx,2017,0.0,92.75,0.0,0.0,0,138,87.68,7.971,9.4203,78.9855,2.1739,tx,057tx,057905tx
4047,057905073tx,2018,0.0,82.81,0.0,0.0,0,128,80.47,11.7188,7.8125,78.125,0.7812,tx,057tx,057905tx
4048,057905073tx,2019,0.0,94.12,0.0,0.0,0,136,41.91,2.9412,9.5588,83.0882,0.7353,tx,057tx,057905tx
4049,057905073tx,2021,0.0,70.5,0.0,0.0,0,139,46.04,6.4748,4.3165,84.8921,2.1583,tx,057tx,057905tx
4050,057905076tx,2015,0.0,72.73,0.0,0.0,0,22,100.0,0.0,31.8182,63.6364,4.5455,tx,057tx,057905tx
4051,057905076tx,2016,0.0,73.33,0.0,0.0,0,30,86.67,0.0,26.6667,70.0,0.0,tx,057tx,057905tx
4052,057905076tx,2017,0.0,75.0,0.0,0.0,0,20,85.0,5.0,15.0,80.0,0.0,tx,057tx,057905tx
4053,057905076tx,2018,0.0,96.3,0.0,0.0,0,27,81.48,3.7037,37.037,59.2593,0.0,tx,057tx,057905tx
4054,057905076tx,2019,0.0,96.3,0.0,0.0,0,27,62.96,3.7037,25.9259,66.6667,0.0,tx,057tx,057905tx
4055,057905076tx,2021,0.0,90.48,0.0,0.0,0,21,52.38,0.0,33.3333,66.6667,0.0,tx,057tx,057905tx
4056,057905077tx,2015,0.0,57.14,0.0,0.0,0,21,90.48,0.0,9.5238,90.4762,0.0,tx,057tx,057905tx
4057,057905077tx,2016,0.0,73.33,0.0,0.0,0,30,93.33,0.0,6.6667,93.3333,0.0,tx,057tx,057905tx
4058,057905077tx,2017,0.0,78.57,0.0,0.0,0,28,96.43,3.5714,0.0,96.4286,0.0,tx,057tx,057905tx
4059,057905077tx,2018,0.0,96.97,0.0,0.0,0,33,96.97,3.0303,0.0,96.9697,0.0,tx,057tx,057905tx
4060,057905077tx,2019,0.0,97.5,0.0,0.0,0,40,47.5,2.5,5.0,92.5,0.0,tx,057tx,057905tx
4061,057905077tx,2021,0.0,31.34,0.0,0.0,0,67,61.19,0.0,1.4925,98.5075,0.0,tx,057tx,057905tx
4062,057905079tx,2015,0.0,63.64,0.0,0.0,0,66,90.91,0.0,3.0303,96.9697,0.0,tx,057tx,057905tx
4063,057905079tx,2016,0.0,50.98,0.0,0.0,0,51,90.2,0.0,1.9608,98.0392,0.0,tx,057tx,057905tx
4064,057905079tx,2017,0.0,61.7,0.0,0.0,0,47,91.49,2.1277,6.383,89.3617,0.0,tx,057tx,057905tx
4065,057905079tx,2018,0.0,88.24,0.0,0.0,0,68,97.06,0.0,2.9412,97.0588,0.0,tx,057tx,057905tx
